geometry,POI,address,node,nearest_sap,destination,sap_name,routes,walking_distance,WT,service_frequency,AWT,TAT,EDF,weighing_factor,accessibility_index,pop_density_per_sq_km,ZONE_NAME,WARD_NO
"POLYGON ((75.71924073983969 26.96252850854381, 75.71929809984114 26.971556431791175, 75.72937385684655 26.971504665036555, 75.72931569353219 26.96247676187832, 75.71924073983969 26.96252850854381))",POINT (75.72430709751663 26.96701668325003),,3777955646,POINT (573043.0594942322 2982111.454963078),3901285130.0,BY PASS,1A,1814,30.233333272866663,20.0,14.0,44.233333272866666,0.6782215533008997,0.5,0.3391107766504498,4127.213848731749,,
"POLYGON ((75.71929809984114 26.971556431791175, 75.7193554867588 26.98058434336184, 75.729432047454 26.98053255651498, 75.72937385684655 26.971504665036555, 75.71929809984114 26.971556431791175))",POINT (75.72436487272684 26.976044590648964),,8635159506,POINT (573043.0594942322 2982111.454963078),3901285130.0,BY PASS,1A,1825,30.41666660583333,20.0,14.0,44.41666660583333,0.6754221397618353,0.5,0.3377110698809176,4127.213848731749,,
"POLYGON ((75.71947034137965 26.998640131462263, 75.71952780910135 27.007668007986652, 75.72960678312873 27.00761616084431, 75.72954851058569 26.998588304421542, 75.71947034137965 26.998640131462263))",POINT (75.72453836105059 27.003128242757327),,4737933242,POINT (576330.7748723744 2988051.30225003),6734556964.0,NINDHAR MOD,1,3551,59.183333214966666,20.0,14.0,73.18333321496667,0.4099294017106168,0.5,0.2049647008553084,4127.213848731749,,
"POLYGON ((75.71952780910135 27.007668007986652, 75.71958530377627 27.016695872823547, 75.7296650830024 27.016644005576467, 75.72960678312873 27.00761616084431, 75.71952780910135 27.007668007986652))",POINT (75.72459624475391 27.012156103421663),,8559935451,POINT (576330.7748723744 2988051.30225003),6734556964.0,NINDHAR MOD,1,3711,61.8499998763,20.0,14.0,75.84999987629999,0.3955174693332302,0.5,0.1977587346666151,4127.213848731749,,
"POLYGON ((75.72850426767096 26.836084892793895, 75.72856204986297 26.84511295918595, 75.73862656756577 26.845060757343294, 75.73856798733344 26.836032711275617, 75.72850426767096 26.836084892793895))",POINT (75.73356521811002 26.840572921093603),,3784280341,POINT (574322.9174512353 2969239.9680055985),9798312119.0,PATRAKAR COLONY,23,1665,27.7499999445,120.0,64.0,91.7499999445,0.326975477037026,0.5,0.163487738518513,4127.213848731749,,
"POLYGON ((75.72856204986297 26.84511295918595, 75.72861985921742 26.854141013936044, 75.7386851753357 26.854088791765864, 75.73862656756577 26.845060757343294, 75.72856204986297 26.84511295918595))",POINT (75.7336234129972 26.849600971536887),,3935231527,POINT (574322.9174512353 2969239.9680055985),9798312119.0,PATRAKAR COLONY,23,2243,37.383333258566665,120.0,64.0,101.38333325856668,0.2959066252387698,0.5,0.1479533126193849,4127.213848731749,,
"POLYGON ((75.72861985921742 26.854141013936044, 75.72867769574364 26.863169057041468, 75.73874381065264 26.863116814540618, 75.7386851753357 26.854088791765864, 75.72861985921742 26.854141013936044))",POINT (75.73368163523908 26.858629010335292),,7087496094,POINT (572329.284029445 2972891.5132002924),3792395429.0,GAJSINGHPURA MOD,"1, 32",2610,43.499999913,20.0,14.0,57.499999913,0.5217391312241967,0.5,0.2608695656120983,4127.213848731749,SANGANER,29
"POLYGON ((75.72867769574364 26.863169057041468, 75.72873555945094 26.872197088499508, 75.738802473526 26.87214482566486, 75.73874381065264 26.863116814540618, 75.72867769574364 26.863169057041468))",POINT (75.73373988484504 26.86765703748611),,3793735100,POINT (572329.284029445 2972891.5132002924),3792395429.0,GAJSINGHPURA MOD,"1, 32",1343,22.383333288566664,20.0,14.0,36.38333328856666,0.8245533679407928,0.5,0.4122766839703964,4127.213848731749,SANGANER,29
"POLYGON ((75.72873555945094 26.872197088499508, 75.72879345034862 26.88122510830746, 75.73886116396521 26.881172825135856, 75.738802473526 26.87214482566486, 75.72873555945094 26.872197088499508))",POINT (75.73379816182441 26.876685052986616),,3793679349,POINT (572813.9268229412 2973260.390070736),3793680008.0,BADARWAS,"AC1, 1, 32",261,4.3499999913,16.0,12.0,16.3499999913,1.8348623862974496,0.5,0.9174311931487248,4127.213848731749,SANGANER,29
"POLYGON ((75.72879345034862 26.88122510830746, 75.72885136844596 26.890253116462624, 75.73891988197971 26.89020081295092, 75.73886116396521 26.881172825135856, 75.72879345034862 26.88122510830746))",POINT (75.7338564661866 26.885713056834117),,3783279583,POINT (573108.4095632173 2974256.8915334246),8142083111.0,HEERA PURA,"1, 26",410,6.833333319666666,20.0,14.0,20.833333319666664,1.44000000094464,0.5,0.72000000047232,7982.795325819863,JHOTWARA ANSIK,14
